bet_type,bet,probability,game_id,date,opponent,probability_pct
Moneyline,HOU ML,0.7524312910151503,0022500845,2026-02-25,SAC,75.2%
Moneyline,BOS ML,0.6808781834219868,0022500847,2026-02-25,DEN,68.1%
Moneyline,CLE ML,0.6293611599105979,0022500846,2026-02-25,MIL,62.9%
Moneyline,SAS ML,0.598758793104823,0022500843,2026-02-25,TOR,59.9%
Moneyline,GSW ML,0.5349827237013846,0022500844,2026-02-25,MEM,53.5%
Moneyline,DET ML,0.52256081349797,0022500842,2026-02-25,OKC,52.3%
Spread,HOU +10.5,0.8732312236256723,0022500845,2026-02-25,SAC,87.3%
Spread,BOS +10.5,0.8394580604048985,0022500847,2026-02-25,DEN,83.9%
Spread,HOU +5.5,0.8281949998987153,0022500845,2026-02-25,SAC,82.8%
Spread,HOU +4.5,0.816552954729054,0022500845,2026-02-25,SAC,81.7%
Spread,CLE +10.5,0.8110832328378633,0022500846,2026-02-25,MIL,81.1%
Spread,HOU +3.5,0.8039715020827432,0022500845,2026-02-25,SAC,80.4%
Spread,SAS +10.5,0.7925620222460117,0022500843,2026-02-25,TOR,79.3%
Spread,HOU +2.5,0.7904379543343614,0022500845,2026-02-25,SAC,79.0%
Spread,BOS +5.5,0.7767356264122669,0022500847,2026-02-25,DEN,77.7%
Spread,HOU +1.5,0.7759478371898569,0022500845,2026-02-25,SAC,77.6%
