defense_team,position,value,rank_pos,matchup_grade
DET,C,18.1,1,A
LAL,C,18.3,2,A
NY,C,18.8,3,A
OKC,C,19.2,4,A
ORL,C,19.2,4,A
BOS,C,19.3,6,B
MIL,C,19.3,6,B
TOR,C,19.6,8,B
PHI,C,20.5,9,B
HOU,C,20.7,10,B
MEM,C,21.0,11,C
GS,C,21.1,12,C
SA,C,21.4,13,C
LAC,C,21.5,14,C
BKN,C,21.6,15,C
CLE,C,21.6,15,C
MIA,C,21.6,15,C
MIN,C,21.6,15,C
ATL,C,21.7,19,C
PHO,C,21.8,20,C
CHA,C,22.1,21,D
DEN,C,22.3,22,D
UTA,C,22.8,23,D
CHI,C,23.4,24,D
IND,C,23.7,25,D
NO,C,23.9,26,F
DAL,C,24.1,27,F
POR,C,24.8,28,F
WAS,C,24.9,29,F
SAC,C,25.2,30,F
LAC,PF,20.1,1,A
PHO,PF,20.9,2,A
HOU,PF,21.1,3,A
OKC,PF,21.1,3,A
GS,PF,21.4,5,A
TOR,PF,21.5,6,B
NO,PF,21.6,7,B
DET,PF,21.8,8,B
NY,PF,22.1,9,B
SA,PF,22.2,10,B
ATL,PF,22.5,11,C
LAL,PF,22.5,11,C
MIL,PF,22.8,13,C
ORL,PF,22.8,13,C
PHI,PF,22.8,13,C
POR,PF,22.8,13,C
CLE,PF,22.9,17,C
DEN,PF,22.9,17,C
BOS,PF,23.0,19,C
IND,PF,23.1,20,C
MIA,PF,23.1,20,C
BKN,PF,23.6,22,D
CHA,PF,23.6,22,D
MEM,PF,23.6,22,D
DAL,PF,23.7,25,D
MIN,PF,23.7,25,D
SAC,PF,24.2,27,F
WAS,PF,24.4,28,F
UTA,PF,26.0,29,F
CHI,PF,27.4,30,F
OKC,PG,21.1,1,A
BOS,PG,21.5,2,A
DET,PG,22.0,3,A
BKN,PG,22.2,4,A
NY,PG,22.3,5,A
PHO,PG,22.6,6,B
HOU,PG,22.7,7,B
CHI,PG,23.0,8,B
DAL,PG,23.0,8,B
CHA,PG,23.2,10,B
PHI,PG,23.3,11,C
SA,PG,23.5,12,C
LAL,PG,23.8,13,C
ATL,PG,23.9,14,C
DEN,PG,24.1,15,C
GS,PG,24.4,16,C
LAC,PG,24.4,16,C
MIA,PG,24.5,18,C
SAC,PG,24.5,18,C
CLE,PG,24.6,20,C
MEM,PG,24.6,20,C
NO,PG,24.8,22,D
POR,PG,25.0,23,D
WAS,PG,25.2,24,D
IND,PG,25.8,25,D
MIN,PG,25.8,25,D
UTA,PG,25.8,25,D
TOR,PG,25.9,28,F
MIL,PG,26.3,29,F
ORL,PG,26.6,30,F
TOR,SF,20.5,1,A
MIN,SF,21.1,2,A
DAL,SF,21.2,3,A
SA,SF,21.2,3,A
OKC,SF,21.3,5,A
ORL,SF,21.7,6,B
CHA,SF,21.9,7,B
BOS,SF,22.1,8,B
DET,SF,22.1,8,B
POR,SF,22.1,8,B
HOU,SF,22.2,11,C
LAC,SF,22.3,12,C
NY,SF,22.4,13,C
GS,SF,22.6,14,C
MIA,SF,22.7,15,C
SAC,SF,22.7,15,C
CLE,SF,22.8,17,C
MIL,SF,22.8,17,C
PHO,SF,22.8,17,C
IND,SF,23.2,20,C
PHI,SF,23.2,20,C
BKN,SF,23.3,22,D
UTA,SF,23.4,23,D
CHI,SF,23.6,24,D
DEN,SF,23.8,25,D
NO,SF,24.1,26,F
MEM,SF,24.2,27,F
ATL,SF,24.3,28,F
WAS,SF,24.4,29,F
LAL,SF,26.1,30,F
HOU,SG,21.2,1,A
BOS,SG,21.3,2,A
DEN,SG,22.1,3,A
CHA,SG,22.2,4,A
MIN,SG,22.5,5,A
MIL,SG,22.6,6,B
PHO,SG,22.8,7,B
CHI,SG,22.9,8,B
CLE,SG,22.9,8,B
IND,SG,22.9,8,B
ORL,SG,22.9,8,B
TOR,SG,23.0,12,C
BKN,SG,23.1,13,C
SA,SG,23.1,13,C
OKC,SG,23.2,15,C
LAC,SG,23.3,16,C
GS,SG,23.5,17,C
MEM,SG,23.5,17,C
POR,SG,23.5,17,C
PHI,SG,23.6,20,C
LAL,SG,23.8,21,D
WAS,SG,23.8,21,D
DET,SG,24.0,23,D
SAC,SG,24.1,24,D
MIA,SG,24.2,25,D
NY,SG,24.2,25,D
ATL,SG,24.7,27,F
DAL,SG,25.0,28,F
NO,SG,25.0,28,F
UTA,SG,26.1,30,F
